,edu_location,edu_Latitude,_Longitude,location_id,Venue,venue_id,Venue Latitude,Venue Longitude,Venue Category,Venue Category Plural,Venue Category Short,sub_id
98,San Francisco State University,37.7208542626991,-122.47708049999999,0,Thornton State Beach,4c1923b16a21c9b66e19ca97,37.69819529294958,-122.49573098638362,Beach,Beaches,Beach,4bf58dd8d48988d1e2941735
99,San Francisco State University,37.7208542626991,-122.47708049999999,0,Java Beach Cafe,49cc7e5af964a52084591fe3,37.73567128742992,-122.50304945107577,Sandwich Place,Sandwich Places,Sandwiches,4bf58dd8d48988d1c5941735
100,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Whole Foods Market,5012dc62e4b0e259d29483ed,37.72375891444195,-122.45489360939011,Grocery Store,Grocery Stores,Grocery Store,4bf58dd8d48988d118951735
101,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Ocean Ale House,574513b8498e48f43c8e48d0,37.72412757442616,-122.45683587457252,Gastropub,Gastropubs,Gastropub,4bf58dd8d48988d155941735
102,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Beep's Burgers,4ad8de38f964a5207c1521e3,37.723396058466584,-122.45399772151599,Burger Joint,Burger Joints,Burgers,4bf58dd8d48988d16c941735
103,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Philz Coffee,56eeb771498e0692c105a6f7,37.723478884185766,-122.45374876198406,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735
104,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Roxie Food Center,49f796fff964a520c06c1fe3,37.72686650712238,-122.44139822741515,Sandwich Place,Sandwich Places,Sandwiches,4bf58dd8d48988d1c5941735
105,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Won Kok Restaurant 華記美食,56aaca82498e009d3013a818,37.731774526726426,-122.45127862507782,Cantonese Restaurant,Cantonese Restaurants,Cantonese,52af3a7c3cf9994f4e043bed
106,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Yoga Flow SF,514772bce4b00b9d3b82851b,37.72492275630799,-122.46242120711725,Yoga Studio,Yoga Studios,Yoga Studio,4bf58dd8d48988d102941735
107,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Super Cue Cafe,547f92fc498e37b38e2f294f,37.72417474352386,-122.45702888087783,Bubble Tea Shop,Bubble Tea Shops,Bubble Tea,52e81612bcbc57f1066b7a0c
108,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Pakwan Restaurant,5879b70bda54ae4bc9f865e9,37.72348113608998,-122.45388596926179,Pakistani Restaurant,Pakistani Restaurants,Pakistani,52e81612bcbc57f1066b79f8
109,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Taquerias El Farolito,4a0e123af964a520c2751fe3,37.72122961664814,-122.43739536867459,Mexican Restaurant,Mexican Restaurants,Mexican,4bf58dd8d48988d1c1941735
110,City College of San Francisco,37.72393135202859,-122.45229901431993,1,AJ's Barbeque Cafe,56185534498ef8b350a6d8a4,37.72075697456199,-122.44628016262067,BBQ Joint,BBQ Joints,BBQ,4bf58dd8d48988d1df931735
111,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Glen Canyon Park,4a5a9aeff964a520a4ba1fe3,37.73736184098628,-122.44080469835735,Park,Parks,Park,4bf58dd8d48988d163941735
112,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Mount Davidson Park,4a353e30f964a520ab9c1fe3,37.738853979980995,-122.45455741882324,Park,Parks,Park,4bf58dd8d48988d163941735
113,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Shanghai Dumpling King,516a2025e4b0b25be7de59b6,37.73160464574401,-122.4510746682198,Dumpling Restaurant,Dumpling Restaurants,Dumplings,4bf58dd8d48988d108941735
114,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Canyon Market,49fa99ddf964a520076e1fe3,37.73403612074532,-122.4338852856884,Grocery Store,Grocery Stores,Grocery Store,4bf58dd8d48988d118951735
115,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Tao Sushi,546960f7498eac74bd5baf47,37.721036775089686,-122.4376651904847,Japanese Restaurant,Japanese Restaurants,Japanese,4bf58dd8d48988d111941735
116,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Henry's Hunan Restaurant,4ceec3b83b03f04de88d3bdc,37.72218603642267,-122.43659651808754,Hunan Restaurant,Hunan Restaurants,Hunan,52af3afc3cf9994f4e043bf8
117,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Ming Kee Restaurant 明記燒臘茶餐廳,52dc198b498e44cc433b45df,37.72459831123632,-122.45905878984257,BBQ Joint,BBQ Joints,BBQ,4bf58dd8d48988d1df931735
118,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Bravo's Pizza,4b064e19f964a52094ea22e3,37.71658983673383,-122.44097410476532,Pizza Place,Pizza Places,Pizza,4bf58dd8d48988d1ca941735
119,City College of San Francisco,37.72393135202859,-122.45229901431993,1,The Fog Lifter Café,4df15c6bc65bf55ee522aada,37.725141,-122.462488,Café,Cafés,Café,4bf58dd8d48988d16d941735
120,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Gialina Pizzeria,4a415045f964a52015a51fe3,37.73393958188252,-122.43414399698531,Pizza Place,Pizza Places,Pizza,4bf58dd8d48988d1ca941735
121,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Champa Garden,521c030711d29828a2b0a260,37.72493826945924,-122.46004675400988,Asian Restaurant,Asian Restaurants,Asian,4bf58dd8d48988d142941735
122,City College of San Francisco,37.72393135202859,-122.45229901431993,1,The Dark Horse Inn,4ec020bbb8f7963bcdde0f6b,37.716127089376435,-122.44037320223659,Bar,Bars,Bar,4bf58dd8d48988d116941735
123,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Broken Record,47224f85f964a520cd4b1fe3,37.714411222395704,-122.4368314414876,Gastropub,Gastropubs,Gastropub,4bf58dd8d48988d155941735
124,City College of San Francisco,37.72393135202859,-122.45229901431993,1,Little Joe's Pizza,4b63b31cf964a520d28c2ae3,37.718359,-122.439613,Pizza Place,Pizza Places,Pizza,4bf58dd8d48988d1ca941735
